Area,Theme,UNHCR Outcome Area,Core Indicator,Data collection date,Indicator,Value,Population group,Geographical Scope,Comment,Source,Publication,Publication link,Data source,Methodology available,Available questionnaire,Methodology overview,Limitations,Microdata link
3.4 Securing solutions,"Land, housing and property rights",14. Voluntary repatriation and sustainable reintegration,,Aug - Sep 2022,% of respondents who indicated having a damaged dwelling in Ukraine,19,Refugees,Germany,,UNHCR,Regional Intentions Survey 2nd Round,https://data.unhcr.org/en/documents/details/95767,Survey,yes,yes,Total sample size: 258 households; phone and web-based surveys; self-recruitment based on Ipsos' online panels,Potential sampling bias due to non-probabilistic household selection and data collection mode,https://microdata.unhcr.org/index.php/catalog/783
3.4 Securing solutions,"Land, housing and property rights",14. Voluntary repatriation and sustainable reintegration,,Aug - Sep 2022,% of respondents who indicated having a damaged dwelling in Ukraine,12,Refugees,Poland,,UNHCR,Regional Intentions Survey 2nd Round,https://data.unhcr.org/en/documents/details/95767,Survey,yes,yes,Total sample size: 710 households; phone and web-based surveys; stratified random sampling from proGres list,Sample only representative of refugees enrolled for cash-assistance,https://microdata.unhcr.org/index.php/catalog/783
3.4 Securing solutions,"Land, housing and property rights",14. Voluntary repatriation and sustainable reintegration,,Aug - Sep 2022,% of respondents who indicated having a damaged dwelling in Ukraine,15,Refugees,Moldova,,UNHCR,Regional Intentions Survey 2nd Round,https://data.unhcr.org/en/documents/details/95767,Survey,yes,yes,Total sample size: 434 households; phone and web-based surveys; stratified random sampling from proGres list,Sample only representative of refugees enrolled for cash-assistance,https://microdata.unhcr.org/index.php/catalog/783
3.4 Securing solutions,"Land, housing and property rights",14. Voluntary repatriation and sustainable reintegration,,Aug - Sep 2022,% of respondents who indicated having a damaged dwelling in Ukraine,18,Refugees,Romania,,UNHCR,Regional Intentions Survey 2nd Round,https://data.unhcr.org/en/documents/details/95767,Survey,yes,yes,Total sample size: 421 households; phone and web-based surveys; stratified random sampling from proGres list,Sample only representative of refugees enrolled for cash-assistance,https://microdata.unhcr.org/index.php/catalog/783
3.4 Securing solutions,"Land, housing and property rights",14. Voluntary repatriation and sustainable reintegration,,Aug - Sep 2022,% of respondents who indicated having a damaged dwelling in Ukraine,21,Refugees,Slovakia,,UNHCR,Regional Intentions Survey 2nd Round,https://data.unhcr.org/en/documents/details/95767,Survey,yes,yes,Total sample size: 414 households; phone and web-based surveys; stratified random sampling from proGres list,Sample only representative of refugees enrolled for cash-assistance,https://microdata.unhcr.org/index.php/catalog/783
3.4 Securing solutions,"Land, housing and property rights",14. Voluntary repatriation and sustainable reintegration,,Aug - Sep 2022,% of respondents who indicated having a damaged dwelling in Ukraine,33,Refugees,Belgium,,UNHCR,Regional Intentions Survey 2nd Round,https://data.unhcr.org/en/documents/details/95767,Survey,yes,yes,Total sample size: 300 households; phone-based surveys; stratified random sampling from proGres list,,https://microdata.unhcr.org/index.php/catalog/783
3.4 Securing solutions,"Land, housing and property rights",14. Voluntary repatriation and sustainable reintegration,,Aug - Sep 2022,% of respondents who indicated having a damaged dwelling in Ukraine,27,Refugees,Spain,,UNHCR,Regional Intentions Survey 2nd Round,https://data.unhcr.org/en/documents/details/95767,Survey,yes,yes,Total sample size: 489 households; face-to-face and phone-based surveys; stratified random sampling from proGres list,,https://microdata.unhcr.org/index.php/catalog/783
3.4 Securing solutions,"Land, housing and property rights",14. Voluntary repatriation and sustainable reintegration,,Aug - Sep 2022,% of respondents who indicated having a damaged dwelling in Ukraine,18,Refugees,Europe,,UNHCR,Regional Intentions Survey 2nd Round,https://data.unhcr.org/en/documents/details/95767,Survey,yes,yes,Total sample size: 4814 households; phone and web-based surveys; mixed sampling desing (stratified random sampling from proGres list + self-recruitment based on Ipsos' online panels + face-to-face location-based survey),Potential sampling bias due to mixed sampling strategies and data collection modes,https://microdata.unhcr.org/index.php/catalog/783
3.4 Securing solutions,Intentions,14. Voluntary repatriation and sustainable reintegration,,Aug - Sep 2022,% of respondents who hope to return one day to Ukraine,54,Refugees,Czech Republic,,UNHCR,Regional Intentions Survey 2nd Round,https://data.unhcr.org/en/documents/details/95767,Survey,yes,yes,"Total sample size: 719 households; face-to-face, phone and web-based surveys; self-recruitment based on Ipsos' online panels",Potential sampling bias due to non-probabilistic household selection and data collection mode,https://microdata.unhcr.org/index.php/catalog/783
3.4 Securing solutions,Intentions,14. Voluntary repatriation and sustainable reintegration,,Aug - Sep 2022,% of respondents who hope to return one day to Ukraine,65,Refugees,Germany,,UNHCR,Regional Intentions Survey 2nd Round,https://data.unhcr.org/en/documents/details/95767,Survey,yes,yes,Total sample size: 258 households; phone and web-based surveys; self-recruitment based on Ipsos' online panels,Potential sampling bias due to non-probabilistic household selection and data collection mode,https://microdata.unhcr.org/index.php/catalog/783
3.4 Securing solutions,Intentions,14. Voluntary repatriation and sustainable reintegration,,Aug - Sep 2022,% of respondents who hope to return one day to Ukraine,68,Refugees,Poland,,UNHCR,Regional Intentions Survey 2nd Round,https://data.unhcr.org/en/documents/details/95767,Survey,yes,yes,Total sample size: 710 households; phone and web-based surveys; stratified random sampling from proGres list,Sample only representative of refugees enrolled for cash-assistance,https://microdata.unhcr.org/index.php/catalog/783
3.4 Securing solutions,Intentions,14. Voluntary repatriation and sustainable reintegration,,Aug - Sep 2022,% of respondents who hope to return one day to Ukraine,80,Refugees,Moldova,,UNHCR,Regional Intentions Survey 2nd Round,https://data.unhcr.org/en/documents/details/95767,Survey,yes,yes,Total sample size: 434 households; phone and web-based surveys; stratified random sampling from proGres list,Sample only representative of refugees enrolled for cash-assistance,https://microdata.unhcr.org/index.php/catalog/783
3.4 Securing solutions,Intentions,14. Voluntary repatriation and sustainable reintegration,,Aug - Sep 2022,% of respondents who hope to return one day to Ukraine,91,Refugees,Romania,,UNHCR,Regional Intentions Survey 2nd Round,https://data.unhcr.org/en/documents/details/95767,Survey,yes,yes,Total sample size: 421 households; phone and web-based surveys; stratified random sampling from proGres list,Sample only representative of refugees enrolled for cash-assistance,https://microdata.unhcr.org/index.php/catalog/783
3.4 Securing solutions,Intentions,14. Voluntary repatriation and sustainable reintegration,,Aug - Sep 2022,% of respondents who hope to return one day to Ukraine,79,Refugees,Slovakia,,UNHCR,Regional Intentions Survey 2nd Round,https://data.unhcr.org/en/documents/details/95767,Survey,yes,yes,Total sample size: 414 households; phone and web-based surveys; stratified random sampling from proGres list,Sample only representative of refugees enrolled for cash-assistance,https://microdata.unhcr.org/index.php/catalog/783
3.4 Securing solutions,Intentions,14. Voluntary repatriation and sustainable reintegration,,Aug - Sep 2022,% of respondents who hope to return one day to Ukraine,51,Refugees,Belgium,,UNHCR,Regional Intentions Survey 2nd Round,https://data.unhcr.org/en/documents/details/95767,Survey,yes,yes,Total sample size: 300 households; phone-based surveys; stratified random sampling from proGres list,,https://microdata.unhcr.org/index.php/catalog/783
3.4 Securing solutions,Intentions,14. Voluntary repatriation and sustainable reintegration,,Aug - Sep 2022,% of respondents who hope to return one day to Ukraine,57,Refugees,Spain,,UNHCR,Regional Intentions Survey 2nd Round,https://data.unhcr.org/en/documents/details/95767,Survey,yes,yes,Total sample size: 489 households; face-to-face and phone-based surveys; stratified random sampling from proGres list,,https://microdata.unhcr.org/index.php/catalog/783
3.4 Securing solutions,Intentions,14. Voluntary repatriation and sustainable reintegration,,Aug - Sep 2022,% of respondents who hope to return one day to Ukraine,68,Refugees,Europe,,UNHCR,Regional Intentions Survey 2nd Round,https://data.unhcr.org/en/documents/details/95767,Survey,yes,yes,Total sample size: 4814 households; phone and web-based surveys; mixed sampling desing (stratified random sampling from proGres list + self-recruitment based on Ipsos' online panels + face-to-face location-based survey),Potential sampling bias due to mixed sampling strategies and data collection modes,https://microdata.unhcr.org/index.php/catalog/783
3.4 Securing solutions,Intentions,14. Voluntary repatriation and sustainable reintegration,,Aug - Sep 2022,% of respondents who are undecided about returning to Ukraine,17,Refugees,Czech Republic,,UNHCR,Regional Intentions Survey 2nd Round,https://data.unhcr.org/en/documents/details/95767,Survey,yes,yes,"Total sample size: 719 households; face-to-face, phone and web-based surveys; self-recruitment based on Ipsos' online panels",Potential sampling bias due to non-probabilistic household selection and data collection mode,https://microdata.unhcr.org/index.php/catalog/783
3.4 Securing solutions,Intentions,14. Voluntary repatriation and sustainable reintegration,,Aug - Sep 2022,% of respondents who are undecided about returning to Ukraine,15,Refugees,Germany,,UNHCR,Regional Intentions Survey 2nd Round,https://data.unhcr.org/en/documents/details/95767,Survey,yes,yes,Total sample size: 258 households; phone and web-based surveys; self-recruitment based on Ipsos' online panels,Potential sampling bias due to non-probabilistic household selection and data collection mode,https://microdata.unhcr.org/index.php/catalog/783
3.4 Securing solutions,Intentions,14. Voluntary repatriation and sustainable reintegration,,Aug - Sep 2022,% of respondents who are undecided about returning to Ukraine,6,Refugees,Poland,,UNHCR,Regional Intentions Survey 2nd Round,https://data.unhcr.org/en/documents/details/95767,Survey,yes,yes,Total sample size: 710 households; phone and web-based surveys; stratified random sampling from proGres list,Sample only representative of refugees enrolled for cash-assistance,https://microdata.unhcr.org/index.php/catalog/783
3.4 Securing solutions,Intentions,14. Voluntary repatriation and sustainable reintegration,,Aug - Sep 2022,% of respondents who are undecided about returning to Ukraine,2,Refugees,Moldova,,UNHCR,Regional Intentions Survey 2nd Round,https://data.unhcr.org/en/documents/details/95767,Survey,yes,yes,Total sample size: 434 households; phone and web-based surveys; stratified random sampling from proGres list,Sample only representative of refugees enrolled for cash-assistance,https://microdata.unhcr.org/index.php/catalog/783
3.4 Securing solutions,Intentions,14. Voluntary repatriation and sustainable reintegration,,Aug - Sep 2022,% of respondents who are undecided about returning to Ukraine,1,Refugees,Romania,,UNHCR,Regional Intentions Survey 2nd Round,https://data.unhcr.org/en/documents/details/95767,Survey,yes,yes,Total sample size: 421 households; phone and web-based surveys; stratified random sampling from proGres list,Sample only representative of refugees enrolled for cash-assistance,https://microdata.unhcr.org/index.php/catalog/783
3.4 Securing solutions,Intentions,14. Voluntary repatriation and sustainable reintegration,,Aug - Sep 2022,% of respondents who are undecided about returning to Ukraine,3,Refugees,Slovakia,,UNHCR,Regional Intentions Survey 2nd Round,https://data.unhcr.org/en/documents/details/95767,Survey,yes,yes,Total sample size: 414 households; phone and web-based surveys; stratified random sampling from proGres list,Sample only representative of refugees enrolled for cash-assistance,https://microdata.unhcr.org/index.php/catalog/783
3.4 Securing solutions,Intentions,14. Voluntary repatriation and sustainable reintegration,,Aug - Sep 2022,% of respondents who are undecided about returning to Ukraine,37,Refugees,Belgium,,UNHCR,Regional Intentions Survey 2nd Round,https://data.unhcr.org/en/documents/details/95767,Survey,yes,yes,Total sample size: 300 households; phone-based surveys; stratified random sampling from proGres list,,https://microdata.unhcr.org/index.php/catalog/783
3.4 Securing solutions,Intentions,14. Voluntary repatriation and sustainable reintegration,,Aug - Sep 2022,% of respondents who are undecided about returning to Ukraine,20,Refugees,Spain,,UNHCR,Regional Intentions Survey 2nd Round,https://data.unhcr.org/en/documents/details/95767,Survey,yes,yes,Total sample size: 489 households; face-to-face and phone-based surveys; stratified random sampling from proGres list,,https://microdata.unhcr.org/index.php/catalog/783
3.4 Securing solutions,Intentions,14. Voluntary repatriation and sustainable reintegration,,Aug - Sep 2022,% of respondents who are undecided about returning to Ukraine,9,Refugees,Europe,,UNHCR,Regional Intentions Survey 2nd Round,https://data.unhcr.org/en/documents/details/95767,Survey,yes,yes,Total sample size: 4814 households; phone and web-based surveys; mixed sampling desing (stratified random sampling from proGres list + self-recruitment based on Ipsos' online panels + face-to-face location-based survey),Potential sampling bias due to mixed sampling strategies and data collection modes,https://microdata.unhcr.org/index.php/catalog/783
3.4 Securing solutions,Intentions,14. Voluntary repatriation and sustainable reintegration,,Aug - Sep 2022,% of respondents who do not hope to return to Ukraine,5,Refugees,Czech Republic,,UNHCR,Regional Intentions Survey 2nd Round,https://data.unhcr.org/en/documents/details/95767,Survey,yes,yes,"Total sample size: 719 households; face-to-face, phone and web-based surveys; self-recruitment based on Ipsos' online panels",Potential sampling bias due to non-probabilistic household selection and data collection mode,https://microdata.unhcr.org/index.php/catalog/783
3.4 Securing solutions,Intentions,14. Voluntary repatriation and sustainable reintegration,,Aug - Sep 2022,% of respondents who do not hope to return to Ukraine,0,Refugees,Germany,,UNHCR,Regional Intentions Survey 2nd Round,https://data.unhcr.org/en/documents/details/95767,Survey,yes,yes,Total sample size: 258 households; phone and web-based surveys; self-recruitment based on Ipsos' online panels,Potential sampling bias due to non-probabilistic household selection and data collection mode,https://microdata.unhcr.org/index.php/catalog/783
3.4 Securing solutions,Intentions,14. Voluntary repatriation and sustainable reintegration,,Aug - Sep 2022,% of respondents who do not hope to return to Ukraine,4,Refugees,Poland,,UNHCR,Regional Intentions Survey 2nd Round,https://data.unhcr.org/en/documents/details/95767,Survey,yes,yes,Total sample size: 710 households; phone and web-based surveys; stratified random sampling from proGres list,Sample only representative of refugees enrolled for cash-assistance,https://microdata.unhcr.org/index.php/catalog/783
3.4 Securing solutions,Intentions,14. Voluntary repatriation and sustainable reintegration,,Aug - Sep 2022,% of respondents who do not hope to return to Ukraine,0,Refugees,Moldova,,UNHCR,Regional Intentions Survey 2nd Round,https://data.unhcr.org/en/documents/details/95767,Survey,yes,yes,Total sample size: 434 households; phone and web-based surveys; stratified random sampling from proGres list,Sample only representative of refugees enrolled for cash-assistance,https://microdata.unhcr.org/index.php/catalog/783
3.4 Securing solutions,Intentions,14. Voluntary repatriation and sustainable reintegration,,Aug - Sep 2022,% of respondents who do not hope to return to Ukraine,0,Refugees,Romania,,UNHCR,Regional Intentions Survey 2nd Round,https://data.unhcr.org/en/documents/details/95767,Survey,yes,yes,Total sample size: 421 households; phone and web-based surveys; stratified random sampling from proGres list,Sample only representative of refugees enrolled for cash-assistance,https://microdata.unhcr.org/index.php/catalog/783
3.4 Securing solutions,Intentions,14. Voluntary repatriation and sustainable reintegration,,Aug - Sep 2022,% of respondents who do not hope to return to Ukraine,0,Refugees,Slovakia,,UNHCR,Regional Intentions Survey 2nd Round,https://data.unhcr.org/en/documents/details/95767,Survey,yes,yes,Total sample size: 414 households; phone and web-based surveys; stratified random sampling from proGres list,Sample only representative of refugees enrolled for cash-assistance,https://microdata.unhcr.org/index.php/catalog/783
3.4 Securing solutions,Intentions,14. Voluntary repatriation and sustainable reintegration,,Aug - Sep 2022,% of respondents who do not hope to return to Ukraine,12,Refugees,Belgium,,UNHCR,Regional Intentions Survey 2nd Round,https://data.unhcr.org/en/documents/details/95767,Survey,yes,yes,Total sample size: 300 households; phone-based surveys; stratified random sampling from proGres list,,https://microdata.unhcr.org/index.php/catalog/783
3.4 Securing solutions,Intentions,14. Voluntary repatriation and sustainable reintegration,,Aug - Sep 2022,% of respondents who do not hope to return to Ukraine,17,Refugees,Spain,,UNHCR,Regional Intentions Survey 2nd Round,https://data.unhcr.org/en/documents/details/95767,Survey,yes,yes,Total sample size: 489 households; face-to-face and phone-based surveys; stratified random sampling from proGres list,,https://microdata.unhcr.org/index.php/catalog/783
3.4 Securing solutions,Intentions,14. Voluntary repatriation and sustainable reintegration,,Aug - Sep 2022,% of respondents who do not hope to return to Ukraine,3,Refugees,Europe,,UNHCR,Regional Intentions Survey 2nd Round,https://data.unhcr.org/en/documents/details/95767,Survey,yes,yes,Total sample size: 4814 households; phone and web-based surveys; mixed sampling desing (stratified random sampling from proGres list + self-recruitment based on Ipsos' online panels + face-to-face location-based survey),Potential sampling bias due to mixed sampling strategies and data collection modes,https://microdata.unhcr.org/index.php/catalog/783
3.4 Securing solutions,Intentions,14. Voluntary repatriation and sustainable reintegration,,Aug - Sep 2022,% of respondents who are planning to return to Ukraine in the next 3 months,24,Refugees,Czech Republic,,UNHCR,Regional Intentions Survey 2nd Round,https://data.unhcr.org/en/documents/details/95767,Survey,yes,yes,"Total sample size: 719 households; face-to-face, phone and web-based surveys; self-recruitment based on Ipsos' online panels",Potential sampling bias due to non-probabilistic household selection and data collection mode,https://microdata.unhcr.org/index.php/catalog/783
3.4 Securing solutions,Intentions,14. Voluntary repatriation and sustainable reintegration,,Aug - Sep 2022,% of respondents who are planning to return to Ukraine in the next 3 months,20,Refugees,Germany,,UNHCR,Regional Intentions Survey 2nd Round,https://data.unhcr.org/en/documents/details/95767,Survey,yes,yes,Total sample size: 258 households; phone and web-based surveys; self-recruitment based on Ipsos' online panels,Potential sampling bias due to non-probabilistic household selection and data collection mode,https://microdata.unhcr.org/index.php/catalog/783
3.4 Securing solutions,Intentions,14. Voluntary repatriation and sustainable reintegration,,Aug - Sep 2022,% of respondents who are planning to return to Ukraine in the next 3 months,23,Refugees,Poland,,UNHCR,Regional Intentions Survey 2nd Round,https://data.unhcr.org/en/documents/details/95767,Survey,yes,yes,Total sample size: 710 households; phone and web-based surveys; stratified random sampling from proGres list,Sample only representative of refugees enrolled for cash-assistance,https://microdata.unhcr.org/index.php/catalog/783
3.4 Securing solutions,Intentions,14. Voluntary repatriation and sustainable reintegration,,Aug - Sep 2022,% of respondents who are planning to return to Ukraine in the next 3 months,18,Refugees,Moldova,,UNHCR,Regional Intentions Survey 2nd Round,https://data.unhcr.org/en/documents/details/95767,Survey,yes,yes,Total sample size: 434 households; phone and web-based surveys; stratified random sampling from proGres list,Sample only representative of refugees enrolled for cash-assistance,https://microdata.unhcr.org/index.php/catalog/783
3.4 Securing solutions,Intentions,14. Voluntary repatriation and sustainable reintegration,,Aug - Sep 2022,% of respondents who are planning to return to Ukraine in the next 3 months,8,Refugees,Romania,,UNHCR,Regional Intentions Survey 2nd Round,https://data.unhcr.org/en/documents/details/95767,Survey,yes,yes,Total sample size: 421 households; phone and web-based surveys; stratified random sampling from proGres list,Sample only representative of refugees enrolled for cash-assistance,https://microdata.unhcr.org/index.php/catalog/783
3.4 Securing solutions,Intentions,14. Voluntary repatriation and sustainable reintegration,,Aug - Sep 2022,% of respondents who are planning to return to Ukraine in the next 3 months,19,Refugees,Slovakia,,UNHCR,Regional Intentions Survey 2nd Round,https://data.unhcr.org/en/documents/details/95767,Survey,yes,yes,Total sample size: 414 households; phone and web-based surveys; stratified random sampling from proGres list,Sample only representative of refugees enrolled for cash-assistance,https://microdata.unhcr.org/index.php/catalog/783
3.4 Securing solutions,Intentions,14. Voluntary repatriation and sustainable reintegration,,Aug - Sep 2022,% of respondents who are planning to return to Ukraine in the next 3 months,0,Refugees,Belgium,,UNHCR,Regional Intentions Survey 2nd Round,https://data.unhcr.org/en/documents/details/95767,Survey,yes,yes,Total sample size: 300 households; phone-based surveys; stratified random sampling from proGres list,,https://microdata.unhcr.org/index.php/catalog/783
3.4 Securing solutions,Intentions,14. Voluntary repatriation and sustainable reintegration,,Aug - Sep 2022,% of respondents who are planning to return to Ukraine in the next 3 months,6,Refugees,Spain,,UNHCR,Regional Intentions Survey 2nd Round,https://data.unhcr.org/en/documents/details/95767,Survey,yes,yes,Total sample size: 489 households; face-to-face and phone-based surveys; stratified random sampling from proGres list,,https://microdata.unhcr.org/index.php/catalog/783
3.4 Securing solutions,Intentions,14. Voluntary repatriation and sustainable reintegration,,Aug - Sep 2022,% of respondents who are planning to return to Ukraine in the next 3 months,20,Refugees,Europe,,UNHCR,Regional Intentions Survey 2nd Round,https://data.unhcr.org/en/documents/details/95767,Survey,yes,yes,Total sample size: 4814 households; phone and web-based surveys; mixed sampling desing (stratified random sampling from proGres list + self-recruitment based on Ipsos' online panels + face-to-face location-based survey),Potential sampling bias due to mixed sampling strategies and data collection modes,https://microdata.unhcr.org/index.php/catalog/783
3.4 Securing solutions,Intentions,14. Voluntary repatriation and sustainable reintegration,,Aug - Sep 2022,% of respondents who are planning to return to Ukraine in the next 3 months that plan to resettle in an oblast different from their place of origin,4,Refugees,Czech Republic,,UNHCR,Regional Intentions Survey 2nd Round,https://data.unhcr.org/en/documents/details/95767,Survey,yes,yes,"Total sample size: 719 households; face-to-face, phone and web-based surveys; self-recruitment based on Ipsos' online panels",Potential sampling bias due to non-probabilistic household selection and data collection mode,https://microdata.unhcr.org/index.php/catalog/783
3.4 Securing solutions,Intentions,14. Voluntary repatriation and sustainable reintegration,,Aug - Sep 2022,% of respondents who are planning to return to Ukraine in the next 3 months that plan to resettle in an oblast different from their place of origin,8,Refugees,Germany,,UNHCR,Regional Intentions Survey 2nd Round,https://data.unhcr.org/en/documents/details/95767,Survey,yes,yes,Total sample size: 258 households; phone and web-based surveys; self-recruitment based on Ipsos' online panels,Potential sampling bias due to non-probabilistic household selection and data collection mode,https://microdata.unhcr.org/index.php/catalog/783
3.4 Securing solutions,Intentions,14. Voluntary repatriation and sustainable reintegration,,Aug - Sep 2022,% of respondents who are planning to return to Ukraine in the next 3 months that plan to resettle in an oblast different from their place of origin,13,Refugees,Poland,,UNHCR,Regional Intentions Survey 2nd Round,https://data.unhcr.org/en/documents/details/95767,Survey,yes,yes,Total sample size: 710 households; phone and web-based surveys; stratified random sampling from proGres list,Sample only representative of refugees enrolled for cash-assistance,https://microdata.unhcr.org/index.php/catalog/783
3.4 Securing solutions,Intentions,14. Voluntary repatriation and sustainable reintegration,,Aug - Sep 2022,% of respondents who are planning to return to Ukraine in the next 3 months that plan to resettle in an oblast different from their place of origin,10,Refugees,Moldova,,UNHCR,Regional Intentions Survey 2nd Round,https://data.unhcr.org/en/documents/details/95767,Survey,yes,yes,Total sample size: 434 households; phone and web-based surveys; stratified random sampling from proGres list,Sample only representative of refugees enrolled for cash-assistance,https://microdata.unhcr.org/index.php/catalog/783
3.4 Securing solutions,Intentions,14. Voluntary repatriation and sustainable reintegration,,Aug - Sep 2022,% of respondents who are planning to return to Ukraine in the next 3 months that plan to resettle in an oblast different from their place of origin,6,Refugees,Romania,,UNHCR,Regional Intentions Survey 2nd Round,https://data.unhcr.org/en/documents/details/95767,Survey,yes,yes,Total sample size: 421 households; phone and web-based surveys; stratified random sampling from proGres list,Sample only representative of refugees enrolled for cash-assistance,https://microdata.unhcr.org/index.php/catalog/783
3.4 Securing solutions,Intentions,14. Voluntary repatriation and sustainable reintegration,,Aug - Sep 2022,% of respondents who are planning to return to Ukraine in the next 3 months that plan to resettle in an oblast different from their place of origin,7,Refugees,Slovakia,,UNHCR,Regional Intentions Survey 2nd Round,https://data.unhcr.org/en/documents/details/95767,Survey,yes,yes,Total sample size: 414 households; phone and web-based surveys; stratified random sampling from proGres list,Sample only representative of refugees enrolled for cash-assistance,https://microdata.unhcr.org/index.php/catalog/783
3.4 Securing solutions,Intentions,14. Voluntary repatriation and sustainable reintegration,,Aug - Sep 2022,% of respondents who are planning to return to Ukraine in the next 3 months that plan to resettle in an oblast different from their place of origin,13,Refugees,Belgium,,UNHCR,Regional Intentions Survey 2nd Round,https://data.unhcr.org/en/documents/details/95767,Survey,yes,yes,Total sample size: 300 households; phone-based surveys; stratified random sampling from proGres list,,https://microdata.unhcr.org/index.php/catalog/783
